Employee_ID,Department,Region,Hire_Date,Termination_Date,Is_Active,Annual_Salary,Job_Level
EMP-00001,Sales,Asia Pacific,2022-10-10,N/A,True,98253.0,Mid
EMP-00002,Sales,Europe,2023-05-01,N/A,True,114676.0,Mid
EMP-00003,Sales,North America,2022-09-23,2023-03-24,False,109340.0,Lead
EMP-00004,Sales,North America,2022-08-29,N/A,True,102196.0,Junior
EMP-00005,Sales,North America,2022-06-06,N/A,True,123761.0,Mid
EMP-00006,Sales,North America,2023-11-17,N/A,True,108494.0,Manager
EMP-00007,Sales,Asia Pacific,2022-05-08,N/A,True,108079.0,Lead
EMP-00008,Sales,North America,2023-02-24,N/A,True,91304.0,Mid
EMP-00009,Sales,Asia Pacific,2022-03-13,2022-07-27,False,116221.0,Junior
EMP-00010,Sales,Asia Pacific,2022-08-26,N/A,True,101692.0,Lead
EMP-00011,Sales,Latin America,2022-02-09,2023-03-15,False,60089.0,Lead
EMP-00012,Sales,North America,2022-04-13,N/A,True,103804.0,Senior
EMP-00013,Sales,Latin America,2023-02-04,N/A,True,91051.0,Manager
EMP-00014,Sales,Latin America,2022-10-03,N/A,True,107555.0,Senior
EMP-00015,Sales,North America,2022-09-22,N/A,True,74798.0,Lead
EMP-00016,Sales,Latin America,2023-09-22,N/A,True,72178.0,Junior
EMP-00017,Sales,Middle East & Africa,2022-08-18,N/A,True,109746.0,Junior
EMP-00018,Sales,Middle East & Africa,2022-12-23,N/A,True,75822.0,Manager
EMP-00019,Sales,North America,2023-02-20,N/A,True,102075.0,Senior
EMP-00020,Sales,Middle East & Africa,2022-01-22,N/A,True,88889.0,Senior
EMP-00021,Sales,Latin America,2023-07-29,N/A,True,98727.0,Junior
EMP-00022,Sales,Latin America,2023-10-28,N/A,True,112961.0,Junior
EMP-00023,Sales,Asia Pacific,2022-03-15,N/A,True,110149.0,Manager
EMP-00024,Sales,North America,2022-07-22,N/A,True,108242.0,Lead
EMP-00025,Sales,Asia Pacific,2022-02-23,N/A,True,100375.0,Junior
EMP-00026,Sales,Middle East & Africa,2023-01-01,N/A,True,89343.0,Senior
EMP-00027,Sales,North America,2023-11-11,N/A,True,106799.0,Mid
EMP-00028,Sales,Latin America,2023-01-04,N/A,True,117437.0,Lead
EMP-00029,Sales,North America,2022-12-23,N/A,True,139020.0,Mid
EMP-00030,Sales,Europe,2023-08-05,N/A,True,125118.0,Mid
EMP-00031,Sales,Latin America,2023-07-28,N/A,True,84649.0,Lead
