Order_ID,Order_Date,Region,Product,Category,Unit_Price,Quantity,Revenue,Customer_ID
ORD-00001,2023-10-17,North America,Product A,Services,633.05,18,11394.84,CUST-0755
ORD-00002,2022-04-15,Middle East & Africa,Product B,Consulting,872.75,4,3490.99,CUST-0096
ORD-00003,2022-08-12,Europe,Product I,Consulting,111.92,26,2909.91,CUST-0734
ORD-00004,2023-10-28,Middle East & Africa,Product G,Software,925.96,36,33334.48,CUST-0829
ORD-00005,2022-01-07,Europe,Product G,Services,651.03,28,18228.95,CUST-0981
ORD-00006,2022-12-11,North America,Product B,Hardware,286.32,45,15728.37,CUST-0827
ORD-00007,2022-02-14,Latin America,Product I,Electronics,1947.58,49,95431.21,CUST-0081
ORD-00008,2023-07-20,Asia Pacific,Product J,Services,1175.84,91,107001.14,CUST-0072
ORD-00009,2022-02-16,Europe,Product E,Electronics,1889.66,13,24565.53,CUST-0390
ORD-00010,2022-10-12,Latin America,Product F,Software,771.85,27,20840.03,CUST-0687
ORD-00011,2022-10-01,North America,Product J,Software,1309.89,32,41916.39,CUST-0168
ORD-00012,2023-04-19,Latin America,Product E,Consulting,478.25,42,20086.48,CUST-0864
ORD-00013,2022-02-27,Europe,Product A,Services,915.5,9,8239.49,CUST-0217
ORD-00014,2023-08-04,Asia Pacific,Product D,Hardware,821.48,83,68183.02,CUST-0470
ORD-00015,2022-05-27,Asia Pacific,Product C,Software,1502.73,69,103688.27,CUST-0270
ORD-00016,2023-08-22,Latin America,Product J,Hardware,755.89,18,13606.08,CUST-0522
ORD-00017,2023-05-21,North America,Product A,Electronics,417.65,21,8770.62,CUST-0812
ORD-00018,2023-11-28,Latin America,Product J,Electronics,800.3,77,80061.85,CUST-0542
ORD-00019,2022-09-15,Middle East & Africa,Product A,Electronics,1379.34,69,95174.13,CUST-0769
ORD-00020,2022-10-01,Asia Pacific,Product B,Services,897.79,59,52969.74,CUST-0004
ORD-00021,2022-09-27,Middle East & Africa,Product C,Consulting,1829.62,81,148199.57,CUST-0306
ORD-00022,2023-10-17,Middle East & Africa,Product J,Software,348.04,98,34107.58,CUST-0166
ORD-00023,2023-07-07,Middle East & Africa,Product A,Consulting,682.1,3,2046.31,CUST-0115
ORD-00024,2023-01-07,Asia Pacific,Product D,Electronics,519.7,73,37938.07,CUST-0970
ORD-00025,2022-03-22,North America,Product H,Electronics,2348.48,69,162045.38,CUST-0785
ORD-00026,2022-05-09,Europe,Product H,Consulting,409.2,68,27825.42,CUST-0894
ORD-00027,2023-09-14,Latin America,Product D,Consulting,1522.77,89,135526.27,CUST-0206
ORD-00028,2022-11-16,Latin America,Product F,Hardware,1804.25,58,117643.52,CUST-0231
ORD-00029,2022-03-07,Asia Pacific,Product A,Consulting,1130.15,76,85891.17,CUST-0226
ORD-00030,2022-01-08,North America,Product A,Software,217.72,5,1088.58,CUST-0881
ORD-00031,2022-12-05,North America,Product I,Software,711.64,63,51237.41,CUST-0136
ORD-00032,2023-08-08,Middle East & Africa,Product H,Software,1580.01,53,83740.42,CUST-0195
ORD-00033,2022-04-07,North America,Product G,Services,1051.17,60,63070.44,CUST-0885
ORD-00034,2022-02-25,North America,Product A,Hardware,1764.02,14,24696.28,CUST-0255
ORD-00035,2022-07-16,Europe,Product I,Hardware,355.69,24,8536.58,CUST-0286
ORD-00036,2023-04-19,Europe,Product B,Hardware,1788.21,71,126962.75,CUST-0101
ORD-00037,2022-02-21,Middle East & Africa,Product A,Electronics,1856.42,31,57548.88,CUST-0171
ORD-00038,2023-02-21,Latin America,Product H,Software,1736.07,8,13888.55,CUST-0169
ORD-00039,2023-01-24,North America,Product G,Services,2228.05,59,131455.09,CUST-0293
ORD-00040,2023-03-10,Middle East & Africa,Product H,Software,420.3,28,11768.42,CUST-0992
ORD-00041,2022-03-01,Middle East & Africa,Product I,Electronics,1508.55,8,12068.42,CUST-0052
ORD-00042,2023-08-22,Latin America,Product I,Consulting,356.99,66,23561.59,CUST-0083
ORD-00043,2022-07-10,North America,Product J,Electronics,1640.0,31,50839.92,CUST-0414
ORD-00044,2022-05-03,Middle East & Africa,Product D,Consulting,1209.31,80,96744.99,CUST-0084
ORD-00045,2023-03-06,Middle East & Africa,Product J,Consulting,666.92,34,22675.32,CUST-0210
ORD-00046,2023-11-17,Asia Pacific,Product D,Services,821.78,86,86864.55,CUST-0469
ORD-00047,2022-11-20,North America,Product A,Hardware,1513.51,73,143546.09,CUST-0076
ORD-00048,2023-07-05,Europe,Product I,Services,339.12,45,15260.37,CUST-0903
ORD-00049,2022-03-12,Europe,Product F,Services,393.37,70,27535.69,CUST-0721
ORD-00050,2022-11-06,Middle East & Africa,Product I,Electronics,1352.33,71,111366.24,CUST-0680
ORD-00051,2022-04-17,Europe,Product E,Electronics,1963.43,96,188489.64,CUST-0567
ORD-00052,2022-06-09,Asia Pacific,Product E,Consulting,460.73,44,20272.02,CUST-0209
ORD-00053,2023-12-05,Asia Pacific,Product I,Hardware,539.69,7,4225.32,CUST-0434
ORD-00054,2022-10-11,North America,Product A,Services,1864.42,82,152882.36,CUST-0269
ORD-00055,2022-06-15,Latin America,Product I,Hardware,1143.77,15,17156.53,CUST-0078
ORD-00056,2023-12-09,Europe,Product I,Electronics,1845.21,75,167522.36,CUST-0441
ORD-00057,2022-05-11,North America,Product E,Services,2163.62,6,12981.7,CUST-0921
ORD-00058,2023-01-02,Europe,Product D,Electronics,813.64,72,58582.13,CUST-0906
ORD-00059,2023-02-21,Middle East & Africa,Product C,Software,1735.98,23,39927.57,CUST-0903
ORD-00060,2023-02-27,North America,Product C,Services,1890.78,53,100211.57,CUST-0822
ORD-00061,2023-11-17,Europe,Product E,Software,1743.92,14,28724.28,CUST-0040
ORD-00062,2023-04-27,Europe,Product D,Hardware,805.02,30,24150.52,CUST-0229
ORD-00063,2022-01-25,Europe,Product G,Services,652.6,9,5873.43,CUST-0991
ORD-00064,2022-10-13,Asia Pacific,Product I,Hardware,1375.06,69,94879.16,CUST-0340
ORD-00065,2022-01-29,North America,Product E,Software,1418.58,34,48231.72,CUST-0040
ORD-00066,2022-04-22,Middle East & Africa,Product G,Services,1470.66,41,60297.18,CUST-0447
ORD-00067,2023-09-13,Middle East & Africa,Product B,Hardware,1804.03,25,45100.86,CUST-0261
ORD-00068,2022-02-15,Latin America,Product A,Consulting,1854.87,69,127986.14,CUST-0704
ORD-00069,2023-11-18,Europe,Product F,Hardware,205.09,86,22650.0,CUST-0639
ORD-00070,2022-11-18,North America,Product E,Consulting,783.73,53,48401.0,CUST-0714
ORD-00071,2022-10-30,Middle East & Africa,Product C,Software,869.87,49,42623.65,CUST-0694
ORD-00072,2022-06-28,Middle East & Africa,Product J,Services,841.85,1,841.85,CUST-0312
ORD-00073,2022-10-21,Europe,Product G,Consulting,1356.29,42,56964.14,CUST-0477
ORD-00074,2023-03-29,Latin America,Product D,Consulting,972.71,95,92407.74,CUST-0174
ORD-00075,2023-11-06,North America,Product E,Consulting,1613.42,80,150633.56,CUST-0839
ORD-00076,2022-08-29,Asia Pacific,Product D,Software,337.34,6,2024.04,CUST-0251
ORD-00077,2023-05-02,Middle East & Africa,Product B,Hardware,858.16,81,69510.96,CUST-0590
ORD-00078,2022-07-19,Latin America,Product H,Hardware,525.77,84,44164.65,CUST-0705
ORD-00079,2022-01-06,North America,Product G,Software,471.57,90,42441.74,CUST-0531
ORD-00080,2023-04-21,North America,Product I,Software,2206.88,16,35310.08,CUST-0468
ORD-00081,2022-05-17,Latin America,Product I,Consulting,1211.13,97,117479.81,CUST-0913
ORD-00082,2023-03-30,Middle East & Africa,Product I,Hardware,1669.61,71,118542.3,CUST-0457
ORD-00083,2022-06-12,Latin America,Product H,Services,1515.96,82,124309.11,CUST-0284
ORD-00084,2023-06-18,Latin America,Product D,Services,907.75,92,83513.14,CUST-0293
ORD-00085,2022-08-29,Asia Pacific,Product F,Services,1791.4,11,19705.43,CUST-0142
ORD-00086,2022-06-04,Europe,Product G,Software,1570.27,9,14132.42,CUST-0425
ORD-00087,2023-02-22,Asia Pacific,Product I,Hardware,860.76,27,23240.51,CUST-0853
ORD-00088,2023-03-07,Latin America,Product J,Electronics,1720.63,98,168621.49,CUST-0590
ORD-00089,2023-01-25,Latin America,Product A,Services,632.29,50,31614.73,CUST-0874
ORD-00090,2023-03-06,Middle East & Africa,Product I,Consulting,1800.73,63,113446.12,CUST-0225
ORD-00091,2022-10-07,Latin America,Product H,Electronics,808.27,86,69511.35,CUST-0696
ORD-00092,2023-02-19,Europe,Product H,Software,2158.65,69,148946.76,CUST-0028
